#{"t_start": 1765582597.4202473, "env_id": "None"}
r,l,t
-168.6,1000,2.26734
-51.2,1000,4.415013
-132.2,1000,6.45808
-11.8,1000,8.700256
64.8,1000,10.792342
168.6,1000,13.073224
-152.8,1000,15.242923
-128.2,1000,19.469209
-158.0,1000,21.504509
-139.8,1000,23.58322
-43.0,1000,25.614569
-28.8,1000,27.59568
-141.4,1000,29.550009
-163.8,1000,31.51681
798.6,1000,33.550695
-95.0,1000,37.595226
-114.0,1000,39.68965
-60.6,1000,41.892216
145.6,1000,43.915109
-33.4,1000,45.928602
233.8,1000,48.028282
157.8,1000,50.050574
-108.2,1000,52.041752
-76.0,1000,55.818814
-116.2,1000,57.813292
-107.4,1000,59.721412
-125.4,1000,61.987059
802.8,1000,64.582315
-92.0,1000,66.730855
801.4,1000,68.83615
286.6,1000,70.892127
801.6,1000,75.393218
108.6,1000,77.509096
60.6,1000,79.5176
128.4,1000,81.523027
49.0,1000,83.591322
541.2,1000,85.715976
-119.6,1000,87.750149
21.2,1000,89.813084
-25.8,1000,94.01857
302.2,1000,96.046644
-102.4,1000,98.038948
495.4,1000,99.999571
386.0,1000,102.029342
85.8,1000,104.073008
15.2,1000,105.831247
-107.2,1000,107.793239
57.0,1000,111.727488
694.4,1000,113.75672
205.2,1000,115.651999
18.4,1000,117.254268
-96.4,1000,119.125905
-27.0,1000,121.053631
276.2,1000,123.057936
-95.6,1000,125.074093
66.2,1000,128.966646
-154.6,1000,130.935408
96.4,1000,132.879856
105.2,1000,134.889343
172.4,1000,136.912878
46.8,1000,138.948302
309.4,1000,141.008368
660.8,1000,143.224406
53.0,1000,147.75138
807.4,1000,149.998884
441.6,1000,151.986635
701.2,1000,154.022618
128.8,1000,156.03253
101.8,1000,157.804859
-140.4,1000,159.740292
46.4,1000,161.637027
122.8,1000,165.706694
-130.6,1000,167.690382
216.6,1000,169.67178
123.6,1000,171.758039
-57.2,1000,173.684872
818.0,1000,175.743756
681.6,1000,177.804411
162.6,1000,179.809702
160.6,1000,183.7995
11.8,1000,185.776035
138.4,1000,187.77573
814.2,1000,189.843436
451.8,1000,191.797712
-118.4,1000,193.804994
693.6,1000,195.92396
-93.6,1000,197.833824
73.4,1000,201.997492
324.0,1000,204.060945
812.2,1000,206.366518
171.2,1000,208.430264
548.0,1000,210.617293
1.0,1000,212.774217
702.8,1000,215.386512
252.0,1000,217.794528
133.2,1000,221.90216
470.6,1000,223.840687
13.0,1000,225.731772
-113.6,1000,227.7482
58.0,1000,229.767923
389.4,1000,232.053315
246.6,1000,234.034715
119.2,1000,236.164114
119.2,1000,240.363339
129.8,1000,242.3874
378.8,1000,244.350591
248.6,1000,246.278281
198.4,1000,248.360376
-93.8,1000,250.418814
695.0,1000,252.568596
691.6,1000,254.737666
20.2,1000,258.977958
-17.6,1000,261.352772
161.4,1000,263.452874
250.0,1000,265.700124
820.6,1000,268.224208
