#{"t_start": 1765594231.536499, "env_id": "None"}
r,l,t
54.602116,1000,41.65369
794.39154,1000,41.653887
-36.999485,1000,41.653918
-132.99922,1000,41.653945
-37.79948,1000,41.653965
-79.799736,1000,41.653988
-4.199448,1000,41.65401
-155.79878,1000,41.654029
-189.39827,1000,41.654049
182.79787,1000,41.654097
-133.59912,1000,41.659786
-168.3986,1000,41.659829
-102.79958,1000,41.659843
-130.19916,1000,41.659851
-10.7991295,1000,41.659858
-63.799854,1000,41.659864
792.7904,1000,41.659871
-102.9997,1000,41.659878
-92.59983,1000,41.659885
-4.7987075,1000,41.659891
-126.399216,1000,41.659898
-157.19879,1000,41.659904
157.59926,1000,41.659911
-134.99918,1000,41.659918
-145.59897,1000,41.659925
-57.799747,1000,41.659931
-188.3983,1000,41.659937
-132.19917,1000,41.659944
15.999967,1000,89.104872
-156.79877,1000,89.104931
208.99927,1000,89.104944
-192.99817,1000,89.104953
880.9971,1000,89.104964
-34.39936,1000,89.104974
103.802536,1000,89.104981
-133.9991,1000,89.104989
-96.79984,1000,89.104996
-174.79846,1000,89.105005
-153.39882,1000,89.105012
-155.59879,1000,89.105019
-175.79845,1000,89.105027
-186.19832,1000,89.105034
-60.399895,1000,89.105042
22.801704,1000,89.105049
-58.599865,1000,89.105057
11.0,1000,89.105064
-20.599417,1000,89.105072
244.59421,1000,89.105079
99.00218,1000,89.105086
-116.39942,1000,89.105093
-138.79903,1000,89.105101
-67.79979,1000,89.105108
-54.80002,1000,89.105117
-212.79785,1000,89.105126
70.20253,1000,89.105133
-131.1992,1000,89.105139
828.3935,1000,143.599833
-66.59984,1000,143.599929
-97.599754,1000,143.599943
-124.19927,1000,143.599953
-191.19817,1000,143.599962
667.79016,1000,143.599973
164.39937,1000,143.599983
-164.39864,1000,143.599991
57.202232,1000,143.6
665.591,1000,143.600009
-186.79828,1000,143.600018
155.59923,1000,143.600027
-6.399057,1000,143.600035
243.59529,1000,143.600044
-133.99916,1000,143.600051
-159.9987,1000,143.60006
13.401483,1000,143.600068
-115.19951,1000,143.600076
-85.59997,1000,143.600087
-228.39755,1000,143.600094
-154.3988,1000,143.600102
-20.599264,1000,143.60011
-51.199394,1000,143.600118
-85.99988,1000,143.600125
-126.99922,1000,143.600135
-178.19844,1000,143.600142
-108.19952,1000,143.60015
-145.99896,1000,143.600157
136.80177,1000,192.290034
17.201439,1000,192.290094
-29.799803,1000,192.290102
104.602234,1000,192.290109
-91.3999,1000,192.290114
73.80238,1000,192.290121
-109.99952,1000,192.290127
74.00221,1000,192.290133
-165.99863,1000,192.290138
-178.19841,1000,192.290143
-133.39922,1000,192.290148
-160.59872,1000,192.290154
-68.0001,1000,192.290159
-124.99933,1000,192.290164
-213.19783,1000,192.290169
-76.00009,1000,192.290175
307.8002,1000,192.29018
36.001328,1000,192.290186
-177.39847,1000,192.290191
-102.59965,1000,192.290196
193.79697,1000,192.290201
225.59294,1000,192.290207
2.1998744,1000,192.290212
-67.00004,1000,192.290217
292.5915,1000,192.290223
-88.99985,1000,192.290229
-168.19858,1000,192.290234
-70.00022,1000,192.290239
-130.59921,1000,202.338509
-143.99905,1000,202.338558
75.20221,1000,202.338567
26.80178,1000,202.338574
-25.39945,1000,202.338579
15.601114,1000,202.338585
-10.59961,1000,202.338591
796.7901,1000,202.338596
-13.199364,1000,202.338602
-217.79771,1000,202.338608
148.40099,1000,202.338613
408.1928,1000,202.338618
137.00148,1000,202.338624
218.59558,1000,202.338629
-122.1993,1000,202.338634
-136.9991,1000,202.33864
-69.79995,1000,202.338645
71.60231,1000,202.338651
114.402176,1000,202.338656
-100.99974,1000,202.338662
169.20113,1000,202.338667
-70.60022,1000,202.338672
541.1926,1000,202.338677
849.9939,1000,202.338683
222.39424,1000,202.338688
-56.80008,1000,202.338693
232.39348,1000,202.338699
-143.39896,1000,202.338704
-60.80035,1000,221.354541
-122.19928,1000,221.354589
-127.99924,1000,221.354597
-26.399904,1000,221.354603
-38.99963,1000,221.354608
11.201469,1000,221.354614
256.59286,1000,221.354619
-98.399734,1000,221.354624
127.201645,1000,221.35463
14.599992,1000,221.354636
-66.9999,1000,221.354641
-178.79837,1000,221.354692
-51.799908,1000,221.3547
-5.9997973,1000,221.354705
-25.200136,1000,221.35471
169.79837,1000,221.354716
151.00018,1000,221.35472
800.39197,1000,221.354726
-108.39962,1000,221.354731
62.00245,1000,221.354736
-38.600212,1000,221.354741
255.79462,1000,221.354746
150.60219,1000,221.354751
-70.60007,1000,221.354756
-97.1998,1000,221.354761
-156.19879,1000,221.354766
800.5903,1000,221.354771
-118.79935,1000,221.354777
11.199958,1000,240.105998
86.20181,1000,240.106051
670.9915,1000,240.10606
-128.79922,1000,240.106066
-96.3998,1000,240.106072
64.401855,1000,240.106077
-74.800156,1000,240.106083
806.7929,1000,240.106088
-31.399725,1000,240.106095
-57.199844,1000,240.106101
-33.000244,1000,240.106106
-135.79913,1000,240.106112
1.2007661,1000,240.106117
-173.19853,1000,240.106122
117.002045,1000,240.106128
-27.599321,1000,240.106133
20.400826,1000,240.106139
-111.59956,1000,240.106144
94.60202,1000,240.106149
-142.399,1000,240.106154
-93.19981,1000,240.106159
-33.399616,1000,240.106165
-129.79929,1000,240.10617
70.20184,1000,240.106175
-39.600098,1000,240.10618
252.59473,1000,240.106185
413.39383,1000,240.106191
-1.3988143,1000,240.106197
661.39374,1000,272.933024
29.601273,1000,272.933085
-136.79921,1000,272.933096
65.00217,1000,272.933104
-47.000114,1000,272.933112
-121.59938,1000,272.93312
799.1917,1000,272.933127
670.9914,1000,272.933136
188.99826,1000,272.933151
-53.800243,1000,272.93316
80.4021,1000,272.933168
430.9945,1000,272.933175
-152.99886,1000,272.933183
-141.19884,1000,272.933191
69.60214,1000,272.933198
415.39758,1000,272.933208
82.80185,1000,272.933217
41.20118,1000,272.933224
543.3936,1000,272.933232
67.001015,1000,272.93324
-136.19908,1000,272.933248
337.59845,1000,272.933255
683.39594,1000,272.933263
504.1933,1000,272.933271
408.39603,1000,272.933278
-137.59908,1000,272.933285
248.59497,1000,272.933294
-118.79936,1000,272.933303
672.1928,1000,300.285975
-150.19894,1000,300.286042
-100.79961,1000,300.286062
806.39136,1000,300.286079
247.1934,1000,300.286094
-46.800182,1000,300.286108
28.400513,1000,300.286122
365.7926,1000,300.286136
17.600876,1000,300.286152
671.39185,1000,300.286166
676.59235,1000,300.28618
803.99164,1000,300.286194
38.001564,1000,300.286208
270.79233,1000,300.286222
808.1931,1000,300.286235
796.3926,1000,300.286249
353.79398,1000,300.286263
-21.599703,1000,300.286278
-34.199543,1000,300.286292
804.1927,1000,300.286305
212.19772,1000,300.286319
164.60114,1000,300.286333
267.39474,1000,300.286347
100.402176,1000,300.286361
208.99637,1000,300.286375
113.002,1000,300.286389
133.00186,1000,300.286403
417.9964,1000,300.286417
4.9998474,1000,344.563674
-115.59947,1000,344.563737
101.201996,1000,344.563757
186.79869,1000,344.563774
-126.19921,1000,344.563789
-34.799973,1000,344.563804
